"Age","Gender","FoodCarbohydrate","FoodFat","FoodProtein","FoodSodium","FoodMonounsaturatedFat","FoodPolyunsaturatedFattyAcid","FoodSaturatedFat","FoodTotalSugar","FoodAddedSugar","FoodFibre","FoodFruit","FoodVegetable","FoodRedMeat","FoodProcessedMeat","FoodLegume","FoodCalcium","FoodIron","FoodVitaminC","FoodCopper","FoodZinc","FoodAlcohol","PhysicalActivity"
60,1,244.526854872071,90.398554476177,73.8012624830239,2.64964257711548,35.4177103334067,15.5269744829759,33.6772999722535,109.990144717126,75.9229529999632,19.1665939291659,144.01782310464,234.467917325777,42.5208970476465,67.4092825874533,27.8590653234197,911.821411490144,11.1662174784278,84.7597101291372,1.21646055719777,8.68554211990859,13.3509437100188,1.67095176778959
61,1,242.983034257203,89.7404993321625,73.1810937100564,2.62734509716941,35.1210656401349,15.3968169594309,33.4590305466741,109.669631013052,75.5135925820574,19.0564505616734,144.630217838195,234.41813536491,42.4364192084072,66.817893424902,27.8202411680551,907.933388059049,11.089650565307,84.30049521941,1.20991693422142,8.61855927371377,13.3088032388349,1.66948705376788
62,1,241.407004057513,89.0627903232315,72.5393273849403,2.6038343056897,34.8195364180971,15.264267822328,33.230038686567,109.342318774481,75.0893453434663,18.9425948288245,145.202264741851,234.171924927597,42.3230105647394,66.1863161758699,27.7604928343764,903.701000344228,11.0105035018106,83.8109223997511,1.20318555083763,8.5493341107844,13.2584488586853,1.66791531365181
63,1,239.798278096672,88.3654088098769,71.8776049440497,2.57921399298321,34.5130089609404,15.1291349108471,32.9908912707215,109.007291893996,74.6509637842155,18.8245501376556,145.724547865426,233.720959984381,42.1808685271966,65.5218993465091,27.6802514226302,899.120015723288,10.9287562397103,83.2899621769659,1.19626443117185,8.47801156697498,13.197861436889,1.66623664435605
64,1,238.156913545289,87.648718594356,71.19796914515,2.55360967758553,34.2014869502653,14.9912791240315,32.7423184224578,108.663385100447,74.1992285900432,18.7019476996195,146.188091482059,233.060862325589,42.010640348691,64.8321962424612,27.5802823693163,894.193535045113,10.8444424955116,82.7373675216667,1.1891524254766,8.40477662664782,13.1251104532649,1.66445333155534
65,1,236.483564320527,86.9135317667594,70.5028529800988,2.52716629819352,33.885130716875,14.8506441765998,32.485202013327,108.309147611198,73.7349473143648,18.5745518923615,146.58451710434,232.191597039701,41.8134132389086,64.1247241986226,27.4616483917886,888.931829845119,10.7576561057464,82.1537200977969,1.18184959443399,8.3298532644182,13.038385611859,1.66256987910371
66,1,234.779434076327,86.1611299510876,69.7950318110076,2.50004448755855,33.5642792473673,14.7072786524485,32.2205488966941,107.942782819349,73.2589285575198,18.4422736425219,146.906111998531,231.117636295199,41.5906790101485,63.4067176380585,27.325658264525,883.351619728677,10.6685518043778,81.5404143888605,1.17435721111075,8.25349924388477,12.936025403447,1.66059297839398
67,1,233.046141916493,85.3932429278766,69.0775441875684,2.47241571193464,33.2394548517394,14.5613494459062,31.9494519617584,107.562076407611,72.7719359917205,18.3051719960774,147.145819075141,229.847885353993,41.344275871499,62.6848908768205,27.1738042082125,877.474879581926,10.5773405863452,80.899584932271,1.16667743949991,8.17599743183441,12.8165426271475,1.65853141687306
68,1,231.285531568187,84.6119919550173,68.3535913604328,2.44445674202098,32.911352547344,14.4131463259592,31.6730439437827,107.164327501841,72.2746310706499,18.1634452087943,147.29716772796,228.395384125491,41.0763134427155,61.9652281545061,27.0076926864634,871.327329352072,10.4842810635382,80.2339886619797,1.15881279546559,8.09764482455577,12.6786474674411,1.6563959269658
69,1,229.499461603472,83.8198097968404,67.6264282079667,2.41634399674985,32.5808179224616,14.2630785710486,31.3924500288949,106.746303807178,71.7675166590312,18.0174140673587,147.354176319162,226.776820730878,40.7890887730349,61.252818363097,26.8289745858658,864.936801629635,10.3896680278841,79.5468588385704,1.15076553532795,8.01874081891838,12.5212695250584,1.65419897875393
70,1,227.689616811417,83.0193494765661,66.8992579829662,2.38824829230058,32.2488177248322,14.1116648716736,31.1087452613893,106.304236824702,71.2508929967469,17.8675002736816,147.311257296354,225.011898045035,40.4850012755195,60.5517477352706,26.6392808474037,858.331678028803,10.2938200868046,78.8417476193438,1.14253714055791,7.93957617735169,12.3435799587119,1.65195452182064
71,1,225.857382961809,82.213396595827,66.1751442942992,2.36033051304499,31.9164084730376,13.9595182931159,30.8229224865424,105.833877580521,70.7248393774046,17.7142034718191,147.163162474499,223.122613170114,40.1664756841293,59.8650620071369,26.4401698120236,851.53960058154,10.1970683039183,78.122376401913,1.13412807675268,7.86042429570687,12.1450153347744,1.64967768361509
